What are the blue lights?|Identifiable by blue lighting on lampposts, lampposts are located around the estate that have emergency help buttons on them. The emergency help buttons are easily identified on campus by their yellow boxes with a large red button. They are located on frequently travelled routes to create better access to emergency services along those areas. When the red button is pushed, the security team is alerted and will respond to the exact location where the button is activated.
What is Queen’s walk-home service?|Escorted walks and lifts to and from Bader Hall are available to students. You can arrange this service through Bader Hall Reception. The service is available between dusk and sunrise.
What is Queen’s vaccination requirements?|Individuals (including, but not limited to, students, staff, faculty, contractors, visitors and volunteers) are required to be fully vaccinated against COVID-19 prior to participating in any in-person university activities, with the rare exception of those faculty, staff, and students who cannot be vaccinated due to validated exemptions (medical and other protected grounds under the Ontario Human Rights Code).
Will my vaccine status or accommodation be reflected on my SeQure App daily screen?|No. The vaccine status declaration is recorded and stored separately but is required to be cleared to access campus. 
What is SOLUS? How do I use it?|SOLUS is our online student portal you will use to enroll in or drop classes, view/manage finances, grades, and biographical information we have on file for you. You can order transcripts, print grades, tax receipts and pay tuition as well. 
What is OnQ? How do I use it?|OnQ is an online learning platform that works much like a web forum. It is chronologically organized to lay out assignments, readings and course modules. While students are generally expected to learn and familiarize themselves with OnQ, you can report technical difficulties to us at 613-533-3322 or asc.online@queensu.ca.
How do I pay for my tuition?|Students in the Undergraduate Online (distance) career can pay tuition through online banking using “Queen’s” as the payee and their student number as the account number, or by credit card through SOLUS.
Can I take a class that I don’t have the prerequisites for?|If you would like permission to waive the prerequisites for a class you’d like to take and feel that you have a strong basis to be able to do well in that class, you can email the Undergraduate Chair of the Department to ask for permission. If permission is granted in writing, please forward this to our office at ask.online@queensu.ca with your student number and preferred exam centre location so that we can assist you with enrolment. Decisions are made on a case-by-case basis.
Where and when do I enroll in my courses?|You can enroll in your courses through SOLUS. You can find your enrolment appointment through SOLUS as well. 
How do I add my name to a waitlist for a course?|As step 1 of the enrolment process in SOLUS, you'll be given the option to check a box titled "Waitlist if class is full." If there is space on the waitlist for that class, you'll be added and given a "position number" that you can track. As spaces in the class open up, students on the waitlist will be enrolled in priority sequence. This can happen at any point up until the add/drop period for that semester.
